25-05-14 03:32:45.939 [main] INFO  c.v.j.JournalismApplication - Starting JournalismApplication using Java 21.0.6 with PID 14560 (C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp\target\classes started by Vividh in C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp) 
25-05-14 03:32:47.980 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster1"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.6+8-LTS-188"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='darotevishnu', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@7d37ee0c, com.mongodb.Jep395RecordCodecProvider@5a7b309b, com.mongodb.KotlinCodecProvider@4602f874]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster1.vbc50oi.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ncgzqt-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster1', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
25-05-14 03:32:48.045 [cluster-ClusterId{value='6823c187f13287563f64ff51', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017 to client view of cluster 
25-05-14 03:32:48.091 [cluster-ClusterId{value='6823c187f13287563f64ff51', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017 to client view of cluster 
25-05-14 03:32:48.094 [cluster-ClusterId{value='6823c187f13287563f64ff51', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017 to client view of cluster 
25-05-14 03:32:48.565 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 7. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-05-14 03:32:48.826 [cluster-ClusterId{value='6823c187f13287563f64ff51', description='Cluster1'}-ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=422786400, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=214, topologyVersion=TopologyVersion{processId=6822545f9a672690936473b5, counter=3}, lastWriteDate=Wed May 14 03:32:49 IST 2025, lastUpdateTimeNanos=6096650114900} 
25-05-14 03:32:48.826 [cluster-ClusterId{value='6823c187f13287563f64ff51', description='Cluster1'}-ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=428764600, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000be, setVersion=214, topologyVersion=TopologyVersion{processId=68225421d7a08e410d6a051a, counter=6}, lastWriteDate=Wed May 14 03:32:49 IST 2025, lastUpdateTimeNanos=6096650159300} 
25-05-14 03:32:48.826 [cluster-ClusterId{value='6823c187f13287563f64ff51', description='Cluster1'}-ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=422808800, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=214, topologyVersion=TopologyVersion{processId=682253e361caee3f133514df, counter=4}, lastWriteDate=Wed May 14 03:32:49 IST 2025, lastUpdateTimeNanos=6096650129200} 
25-05-14 03:32:48.826 [cluster-ClusterId{value='6823c187f13287563f64ff51', description='Cluster1'}-ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017 with max election id 7fffffff00000000000000be and max set version 214 
25-05-14 03:32:49.914 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl 
25-05-14 03:32:50.698 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-05-14 03:32:50.735 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' 
25-05-14 03:32:50.755 [main] INFO  c.v.j.JournalismApplication - Started JournalismApplication in 5.243 seconds (process running for 5.845) 
