25-06-05 12:25:42.586 [main] INFO  c.v.j.JournalismApplication - Starting JournalismApplication using Java 21.0.6 with PID 11960 (C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp\target\classes started by Vividh in C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp) 
25-06-05 12:25:45.332 [cluster-ClusterId{value='68413f70fc3e1a5d5ac549c6', description='Cluster1'}-ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=420212000, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=220, topologyVersion=TopologyVersion{processId=68413f1903a58762ed503bfd, counter=3}, lastWriteDate=Thu Jun 05 12:25:46 IST 2025, lastUpdateTimeNanos=4196135825800} 
25-06-05 12:25:45.332 [cluster-ClusterId{value='68413f70fc3e1a5d5ac549c6', description='Cluster1'}-ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=420315100, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=220, topologyVersion=TopologyVersion{processId=68410be8afebc368e16253ae, counter=3}, lastWriteDate=Thu Jun 05 12:25:46 IST 2025, lastUpdateTimeNanos=4196135936100} 
25-06-05 12:25:45.337 [cluster-ClusterId{value='68413f70fc3e1a5d5ac549c6', description='Cluster1'}-ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017 with max election id 7fffffff00000000000000c6 and max set version 220 
25-06-05 12:25:46.182 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl 
25-06-05 12:25:47.435 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-06-05 12:25:47.463 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' 
25-06-05 12:25:47.484 [main] INFO  c.v.j.JournalismApplication - Started JournalismApplication in 5.349 seconds (process running for 6.021) 
25-06-05 12:25:49.823 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-06-05 12:25:49.823 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-06-05 12:25:49.825 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms 
