25-05-09 21:07:12.121 [main] INFO  c.v.j.JournalismApplication - Starting JournalismApplication using Java 21.0.6 with PID 27372 (C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp\target\classes started by Vividh in C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp) 
25-05-09 21:07:14.407 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-05-09 21:07:15.030 [cluster-ClusterId{value='681e21296191e047f7a238c7', description='Cluster1'}-ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=466888200, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=211, topologyVersion=TopologyVersion{processId=681d8e78500762c2baba21f6, counter=5}, lastWriteDate=Fri May 09 21:07:18 IST 2025, lastUpdateTimeNanos=5512835578500} 
25-05-09 21:07:15.031 [cluster-ClusterId{value='681e21296191e047f7a238c7', description='Cluster1'}-ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=478643700, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000bb, setVersion=211, topologyVersion=TopologyVersion{processId=681d8c2580fa2d523d0c2e3b, counter=9}, lastWriteDate=Fri May 09 21:07:18 IST 2025, lastUpdateTimeNanos=5512835824000} 
25-05-09 21:07:15.034 [cluster-ClusterId{value='681e21296191e047f7a238c7', description='Cluster1'}-ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=482125800, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=211, topologyVersion=TopologyVersion{processId=681d8d3da412303fb04090c1, counter=5}, lastWriteDate=Fri May 09 21:07:18 IST 2025, lastUpdateTimeNanos=5512839199700} 
25-05-09 21:07:15.035 [cluster-ClusterId{value='681e21296191e047f7a238c7', description='Cluster1'}-ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017 with max election id 7fffffff00000000000000bb and max set version 211 
25-05-09 21:07:15.662 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl 
25-05-09 21:07:16.192 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-05-09 21:07:16.206 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' 
25-05-09 21:07:16.216 [main] INFO  c.v.j.JournalismApplication - Started JournalismApplication in 4.51 seconds (process running for 5.1) 
25-05-09 21:07:22.266 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-05-09 21:07:22.266 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-05-09 21:07:22.269 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms 
